2020-05-06 09:12:07,035 ImageID: 1 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:06.660116 	 AfterPrediction: 11:12:06.977572 	 Received: 2020-05-06 11:12:07.035145+02:00 
2020-05-06 09:12:07,578 ImageID: 3 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:07.264229 	 AfterPrediction: 11:12:07.522941 	 Received: 2020-05-06 11:12:07.578588+02:00 
2020-05-06 09:12:08,398 ImageID: 6 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:08.088977 	 AfterPrediction: 11:12:08.341745 	 Received: 2020-05-06 11:12:08.398389+02:00 
2020-05-06 09:12:09,251 ImageID: 9 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:08.906767 	 AfterPrediction: 11:12:09.184570 	 Received: 2020-05-06 11:12:09.251893+02:00 
2020-05-06 09:12:10,601 ImageID: 14 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:10.288953 	 AfterPrediction: 11:12:10.546576 	 Received: 2020-05-06 11:12:10.601644+02:00 
2020-05-06 09:12:10,888 ImageID: 15 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:10.559181 	 AfterPrediction: 11:12:10.830321 	 Received: 2020-05-06 11:12:10.888211+02:00 
2020-05-06 09:12:11,435 ImageID: 17 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:11.120809 	 AfterPrediction: 11:12:11.371108 	 Received: 2020-05-06 11:12:11.435388+02:00 
2020-05-06 09:12:12,780 ImageID: 22 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:12.468419 	 AfterPrediction: 11:12:12.722265 	 Received: 2020-05-06 11:12:12.780280+02:00 
2020-05-06 09:12:13,350 ImageID: 24 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:13.015583 	 AfterPrediction: 11:12:13.290246 	 Received: 2020-05-06 11:12:13.350463+02:00 
2020-05-06 09:12:13,878 ImageID: 26 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:13.566233 	 AfterPrediction: 11:12:13.823695 	 Received: 2020-05-06 11:12:13.878723+02:00 
2020-05-06 09:12:14,166 ImageID: 27 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:13.836731 	 AfterPrediction: 11:12:14.092430 	 Received: 2020-05-06 11:12:14.165989+02:00 
2020-05-06 09:12:14,442 ImageID: 28 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:14.104919 	 AfterPrediction: 11:12:14.379128 	 Received: 2020-05-06 11:12:14.441979+02:00 
2020-05-06 09:12:15,627 ImageID: 30 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:15.308958 	 AfterPrediction: 11:12:15.563463 	 Received: 2020-05-06 11:12:15.627077+02:00 
2020-05-06 09:12:16,999 ImageID: 35 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:16.689512 	 AfterPrediction: 11:12:16.942646 	 Received: 2020-05-06 11:12:16.999099+02:00 
2020-05-06 09:12:17,543 ImageID: 37 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:17.227177 	 AfterPrediction: 11:12:17.484233 	 Received: 2020-05-06 11:12:17.543767+02:00 
2020-05-06 09:12:18,363 ImageID: 40 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 11:12:18.046542 	 AfterPrediction: 11:12:18.307230 	 Received: 2020-05-06 11:12:18.363105+02:00
