2020-05-06 08:54:27,970 ImageID: 1 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:27.351114 	 AfterPrediction: 10:54:27.882857 	 Received: 2020-05-06 10:54:27.969921+02:00 
2020-05-06 08:54:29,037 ImageID: 3 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:28.438854 	 AfterPrediction: 10:54:28.967694 	 Received: 2020-05-06 10:54:29.037055+02:00 
2020-05-06 08:54:30,682 ImageID: 6 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:30.085042 	 AfterPrediction: 10:54:30.613086 	 Received: 2020-05-06 10:54:30.682357+02:00 
2020-05-06 08:54:32,274 ImageID: 9 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:31.706406 	 AfterPrediction: 10:54:32.205532 	 Received: 2020-05-06 10:54:32.274595+02:00 
2020-05-06 08:54:34,960 ImageID: 14 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:34.380576 	 AfterPrediction: 10:54:34.891080 	 Received: 2020-05-06 10:54:34.960252+02:00 
2020-05-06 08:54:35,510 ImageID: 15 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:34.911147 	 AfterPrediction: 10:54:35.441791 	 Received: 2020-05-06 10:54:35.510288+02:00 
2020-05-06 08:54:36,664 ImageID: 17 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:36.004955 	 AfterPrediction: 10:54:36.594903 	 Received: 2020-05-06 10:54:36.664519+02:00 
2020-05-06 08:54:39,425 ImageID: 22 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:38.841204 	 AfterPrediction: 10:54:39.357691 	 Received: 2020-05-06 10:54:39.425785+02:00 
2020-05-06 08:54:40,511 ImageID: 24 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:39.926459 	 AfterPrediction: 10:54:40.443985 	 Received: 2020-05-06 10:54:40.511884+02:00 
2020-05-06 08:54:41,587 ImageID: 26 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:41.011439 	 AfterPrediction: 10:54:41.519161 	 Received: 2020-05-06 10:54:41.587121+02:00 
2020-05-06 08:54:42,126 ImageID: 27 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:41.543783 	 AfterPrediction: 10:54:42.055165 	 Received: 2020-05-06 10:54:42.126159+02:00 
2020-05-06 08:54:42,673 ImageID: 28 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:42.077230 	 AfterPrediction: 10:54:42.605087 	 Received: 2020-05-06 10:54:42.672954+02:00 
2020-05-06 08:54:43,748 ImageID: 30 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:43.166246 	 AfterPrediction: 10:54:43.680670 	 Received: 2020-05-06 10:54:43.748447+02:00 
2020-05-06 08:54:47,261 ImageID: 35 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:46.677952 	 AfterPrediction: 10:54:47.193730 	 Received: 2020-05-06 10:54:47.261216+02:00 
2020-05-06 08:54:48,352 ImageID: 37 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:47.762702 	 AfterPrediction: 10:54:48.277812 	 Received: 2020-05-06 10:54:48.352055+02:00 
2020-05-06 08:54:49,970 ImageID: 40 	 Predicted: 0 	 Latitude: 42 	 Longitude: 12 	 AfterReadIn: 10:54:49.393926 	 AfterPrediction: 10:54:49.903293 	 Received: 2020-05-06 10:54:49.970555+02:00 
